position,country,name,club,boots,age,height
Midfielder,France,Morgan Kamin,,,30,175
Midfielder,France,Morgan Mauquit,,,29,182
Defender,France,Morgan Poaty,,,27,177
Midfielder,England,Morgan Rogers,Aston Villa,adidas Predator Elite,22,187
Midfielder,France,Morgan Sanson,OGC Nice,Nike Phantom GX Elite,30,180
Midfielder,France,Morgan Schneiderlin,,Nike Tiempo Legend 10 Elite,35,186
Defender,Austria,Moritz Bauer,,Nike Mercurial Vapor XI Elite,32,181
Forward,Germany,Moritz Broschinski,VfL Bochum,Nike Mercurial Vapor 15 Elite,24,190
Forward,Germany,Moritz Hartmann,,Nike Mercurial Vapor 15 Elite,38,181
Defender,Germany,Moritz Jenz,1. FSV Mainz 05,Nike Mercurial Superfly 9 Elite,25,190
Midfielder,Germany,Moritz Leitner,,adidas Nemeziz.1,32,174
Goalkeeper,Germany,Moritz Nicolas,Borussia Mönchengladbach,Puma Future 7 Ultimate,27,193
Defender,Germany,Moritz Römling,,,23,186
Goalkeeper,Germany,Moritz Schulze,SpVgg Greuther Fürth,,23,192
Defender,Germany,Moritz Sprenger,,Nike Tiempo Legend 10 Elite,29,190
Midfielder,Germany,Moritz Stoppelkamp,,Nike Mercurial Vapor 15 Elite,38,180
Midfielder,Austria,Moritz Wels,,,20,186
Midfielder,Germany,Moritz-Broni Kwarteng,VfL Bochum,Nike Mercurial Vapor 15 Elite,26,175
Midfielder,Ghana,Moro Alhassan,,Lotto Solista,30,186
Defender,Tunisia,Mortadha Ben Ouanes,,,30,182
Goalkeeper,Denmark,Morten Bank,,,28,196
Goalkeeper,Germany,Morten Behrens,,adidas Predator Elite,27,193
Midfielder,Denmark,Morten Frendrup,Genoa CFC,Puma Ultra Ultimate,23,178
Midfielder,Denmark,Morten Hjulmand,Sporting CP,adidas Copa Pure 2 Elite,25,185
Midfielder,Norway,Morten Thorsby,Genoa CFC,adidas Predator Elite LL,28,188
Defender,Iran,Morteza Pouraliganji,,Nike Phantom VNM Elite,32,185
Goalkeeper,Senegal,Mory Diaw,Clermont Foot 63,Puma Future 7 Ultimate,31,197
Goalkeeper,France,Mory Diaw,,Nike Phantom GX 2 Elite,31,195
Defender,France,Mory Koné,,,30,190
Midfielder,Côte d'Ivoire,Moryké Fofana,,,33,178
Defender,England,Moses Odubajo,AEK Athens,Nike Mercurial Vapor 15 Elite,31,177
Forward,Nigeria,Moses Simon,FC Nantes,Nike Mercurial Vapor 15 Elite,29,168
Forward,Egypt,Mostafa Mohamed,FC Nantes,Nike Mercurial Superfly 9 Elite,27,185
Defender,Saudi Arabia,Motaz Hawsawi,,Nike Magista Opus II Elite,32,179
Forward,France,Mouaad Madri,,,34,176
Midfielder,Morocco,Moubarak Boussoufa,,Nike Magista Opus II Elite,40,167
Defender,Guinea,Mouctar Diakhaby,Valencia CF,adidas Predator Elite,28,192
Goalkeeper,Tunisia,Mouez Hassen,,Nike Tiempo Legend 9 Elite,29,186
Defender,France,Mouhamadou Dabo,,adidas Predator Elite,38,176
Midfielder,France,Mouhamadou Drammeh,,,25,188
Midfielder,Senegal,Mouhamadou Sakho,,,24,185
Goalkeeper,Senegal,Mouhamadou Sarr,Spezia Calcio,adidas Predator Edge.1 Low,28,190
Midfielder,Senegal,Mouhamed Diop,ESTAC Troyes,,24,182
Goalkeeper,Senegal,Mouhamed Mbaye,,Nike Mercurial Vapor XIII Elite,27,193
Forward,France,Mounaïm El Idrissy,,adidas X Crazyfast Elite LL,25,181
Midfielder,France,Mounir Bouziane,,,33,182
Forward,France,Mounir Chouiar,,Nike Mercurial Vapor 15 Elite,25,177
Forward,Morocco,Mounir El Hamdaoui,,Nike Magista Opus,40,183
Midfielder,Morocco,Mounir Obbadi,,adidas Predator Elite,41,172
Forward,France,Mour Paye,,,30,173
Forward,Morocco,Mourad El Ghezouani,Elche CF,,26,189
Midfielder,Belgium,Mousa Dembélé,,adidas Copa 20.1,37,185
Forward,-,Mousa Tamari,Montpellier HSC,Nike Mercurial Superfly 9 Elite,27,178
Goalkeeper,Cameroon,Moussa Bana,,,27,184
Forward,France,Moussa Dembélé,,adidas X Crazyfast Elite LL,28,187
Forward,France,Moussa Diaby,,adidas X Crazyfast Elite,25,170
Defender,Mali,Moussa Diarra,Deportivo Alavés,adidas F50 Elite LL,24,185
Forward,Mali,Moussa Djenepo,,Nike Mercurial Superfly 9 Elite,26,177
Forward,Senegal,Moussa Djitté,,adidas X Crazyfast Elite LL,25,180
Forward,Mali,Moussa Doumbia,,Nike Mercurial Vapor 14 Elite,30,173
Defender,France,Moussa Guel,,,36,183
Forward,Senegal,Moussa Guèye,,adidas F50 Adizero,35,185
Midfielder,Senegal,Moussa Kanté,,,20,164
Forward,Senegal,Moussa Konaté,,Nike Mercurial Superfly 9 Elite,31,183
Midfielder,Côte d'Ivoire,Moussa Koné,,Nike Phantom GX 2 Elite,34,185
Forward,Senegal,Moussa Koné,,Nike Mercurial Vapor XIII Elite,28,175
Midfielder,Mali,Moussa Kyabou,FC Sheriff Tiraspol,,26,183
Defender,Senegal,Moussa M'Bow,,adidas X Crazyfast Elite,32,180
Forward,Niger,Moussa Maazou,,,36,188
Forward,Mali,Moussa Marega,,Nike Mercurial Superfly VII Elite,33,183
Defender,Senegal,Moussa N'Diaye,RSC Anderlecht,Nike Mercurial Vapor 15 Elite,22,181
Midfielder,Senegal,Moussa Ndiaye,,,20,184
Midfielder,Senegal,Moussa Ndiaye,,,26,182
Defender,Senegal,Moussa Niakhaté,Olympique Lyonnais,Nike Mercurial Vapor 15 Elite,28,190
Midfielder,France,Moussa Sissoko,Watford,adidas X Crazyfast Elite,35,187
Defender,Senegal,Moussa Sogué,,,23,185
Forward,France,Moussa Soumano,AC Ajaccio,Puma Ultra Ultimate,19,185
Forward,Senegal,Moussa Sow,,adidas Predator 18.1,38,180
Forward,Mali,Moussa Sylla,Schalke 04,Nike Mercurial Vapor 15 Elite,25,180
Defender,Senegal,Moussa Wagué,,Nike Mercurial Superfly 9 Elite,26,177
Forward,Mali,Moussa Yeo,Red Bull Salzburg,Nike Mercurial Vapor 15 Elite,20,174
Midfielder,Palestine,Moustafa Zeidan,,Nike Mercurial Vapor 15 Elite,26,174
Defender,Senegal,Moustapha Bayal Sall,,Nike Mercurial Superfly 9 Elite,39,191
Forward,Guinea,Moustapha Cissé,,,21,182
Midfielder,Senegal,Moustapha Diallo,,Nike Tiempo Legend VI,38,188
Defender,Senegal,Moustapha Mbow,,adidas X Speedflow+,24,192
Midfielder,Senegal,Moustapha Name,,adidas X Crazyfast Elite,29,185
Defender,Senegal,Moustapha Seck,,Nike Mercurial Vapor 15 Elite,28,176
Defender,France,Moutanabi Bodiang,,,21,172
Defender,Senegal,Moutarou Baldé,,,31,175
Defender,France,Muamer Aljic,,,24,185
Forward,Sweden,Muamer Tankovic,,Nike Mercurial Vapor 14 Elite,29,181
Forward,Somalia,Mubaarak Nuh,,,22,179
Forward,Turkey,Mugdat Celik,,Nike Mercurial Vapor XII Elite,35,180
Midfielder,-,Muhamed Besic,,Nike Mercurial Vapor 15 Elite,32,180
Forward,-,Muhamed Tehe Olawale,,,25,187
Midfielder,Austria,Muhammed Cham,,Nike Mercurial Vapor 15 Elite,24,180
Midfielder,Germany,Muhammed Damar,,Nike Mercurial Superfly 9 Elite,20,185
Forward,Germany,Muhammed Kiprit,,adidas X Crazyfast Elite,25,184
Defender,Turkey,Muhammed Sarıkaya,,Nike Mercurial Superfly 9 Elite,23,182
Goalkeeper,Turkey,Muhammed Şengezer,İstanbul Başakşehir FK,Nike Tiempo Legend 10 Elite,28,192
Forward,Saudi Arabia,Muhannad Asiri,,Nike Tiempo Legend 10 Elite,38,187
Midfielder,Turkey,Muhayer Oktay,,Nike Mercurial Vapor XIII Elite,25,180
Defender,Spain,Mujaid Sadick,KRC Genk,,24,185
Goalkeeper,Congo Dr,Mulopo Kudimbana,,Puma Ultra 1.1,37,190
Forward,Israel,Munas Dabbur,,Nike Mercurial Superfly 9 Elite,32,182
Defender,Zimbabwe,Munashe Garananga,FC Copenhagen,,23,186
Goalkeeper,Morocco,Munir,,Nike Tiempo Legend 10 Elite,35,190
Forward,Morocco,Munir El Haddadi,CD Leganés,adidas X Crazyfast Elite LL,29,177
Defender,Brazil,Murillo,Nottingham Forest,Nike Phantom GX 2 Elite,22,184
Defender,Brazil,Murilo Cerqueira,,Nike Phantom VSN Elite,27,188
Forward,Brazil,Murilo de Souza,,,30,176
Forward,-,Musa Barrow,,Nike Mercurial Vapor 14 Elite,26,184
Forward,-,Musa Juwara,,adidas X Speedflow+,23,170
Forward,Azerbaijan,Musa Qurbanly,Qarabağ FK,,22,183
Forward,Australia,Musa Toure,Clermont Foot 63,,19,183
Midfielder,Saudi Arabia,Musab Al-Juwayr,,,21,178
Defender,Qatar,Musab Khoder,,Nike Mercurial Vapor 15 Elite By You,32,174
Midfielder,Australia,Mustafa Amini,,adidas X Crazyfast Elite,31,173
Forward,Turkey,Mustafa Hekimoğlu,Beşiktaş JK,,17,186
Midfielder,Qatar,Mustafa Mashaal,,,23,174
Forward,Turkey,Mustafa Pektemek,,Nike Phantom GX 2 Elite,36,182
Midfielder,Republic Of The Gambia,Mustapha Carayol,,Nike Phantom GX 2 Elite,36,177
Forward,Mali,Mustapha Yatabaré,,Nike Mercurial Vapor 15 Elite,38,182
Defender,-,Myenty Abena,Spartak Moscow,,30,187
Forward,Ukraine,Mykhaylo Mudryk,Chelsea,Nike Mercurial Vapor 16 Elite,24,175
Forward,Ukraine,Mykola Kukharevych,,Nike Mercurial Vapor 15 Elite,23,191
Defender,Ukraine,Mykola Matvienko,Shakhtar Donetsk,Puma Ultra Ultimate,28,182
Defender,Ukraine,Mykola Morozyuk,,,36,175
Midfielder,Ukraine,Mykola Mykhaylenko,Dynamo Kyiv,,23,183
Midfielder,Ukraine,Mykola Shaparenko,Dynamo Kyiv,adidas X Crazyfast Elite,26,178
Defender,Ukraine,Mykyta Burda,,adidas Nemeziz.1,29,187
Defender,Ukraine,Mykyta Kamenyuka,,,39,172
Defender,Ukraine,Mykyta Kravchenko,,,27,182
Goalkeeper,Ukraine,Mykyta Kryukov,,Nike Phantom GX 2 Elite,33,197
Goalkeeper,Ukraine,Mykyta Shevchenko,,,31,187
Midfielder,England,Myles Lewis-Skelly,,adidas Predator Elite FT,18,178
Midfielder,Jamaica,Myles Peart-Harris,Swansea City,Nike Mercurial Superfly 10 Elite,22,187
Forward,Netherlands,Myron Boadu,VfL Bochum,adidas X Crazyfast Elite LL,23,181
Forward,Albania,Myrto Uzuni,Granada CF,Nike Mercurial Vapor XIII Elite,29,178
Forward,-,Myziane Maolida,,adidas X Speedportal+,25,181
Midfielder,Senegal,N'Diaye Djiby,,,31,186
Forward,-,N'Dri Koffi,,,22,187
Midfielder,Côte d'Ivoire,N'Dri Romaric,,Puma Ultra 1.1,41,187
Midfielder,France,N'Golo Kanté,,adidas X 18.1,33,171
Midfielder,Finland,Naatan Skyttä,,adidas Copa Pure 2 Elite,22,170
Defender,Morocco,Nabil Aberdin,Getafe CF,,22,192
Forward,France,Nabil Alioui,,Nike Mercurial Vapor 15 Elite,25,175
Midfielder,Sweden,Nabil Bahoui,,adidas X 16.1 Leather,33,188
Midfielder,Algeria,Nabil Bentaleb,LOSC Lille,Puma Ultra Ultimate,30,187
Forward,Morocco,Nabil Dirar,,Nike Mercurial Vapor XIII Elite,38,187
Midfielder,Morocco,Nabil El Zhar,,Nike Mercurial Superfly 9 Elite,38,175
Midfielder,France,Nabil Fekir,,Puma King Ultimate,31,173
Forward,Algeria,Nabil Ghilas,,Nike Phantom GX 2 Elite,34,185
Midfielder,Morocco,Nabil Jaadi,,Nike Mercurial Vapor 15 Elite,28,178
Goalkeeper,Algeria,Nabil Ouennas,,,21,195
Midfielder,Guinea,Naby Keïta,SV Werder Bremen,adidas Predator Elite FT,29,172
Defender,Senegal,Naby Sarr,,Nike Magista Opus II Elite,31,196
Forward,Netherlands,Nacer Barazite,,Nike Mercurial Superfly 9 Elite,34,188
Forward,Belgium,Nacer Chadli,,Nike Phantom Luna 2 Elite,35,187
Defender,Spain,Nacho,,adidas Predator Elite,44,178
Midfielder,Spain,Nacho Cases,,adidas X Crazyfast Elite,37,174
Defender,Spain,Nacho Fernández,,adidas Predator Elite FT,34,180
Forward,Spain,Nacho Ferri,,Nike Mercurial Vapor 15 Elite,20,192
Forward,Spain,Nacho Gil,New England Revolution,,29,170
Defender,Spain,Nacho Martínez,,Nike Phantom GT Elite,35,174
Midfielder,Spain,Nacho Méndez,Real Sporting de Gijón,adidas Predator 18+,26,178
Defender,Spain,Nacho Monreal,,Puma Ultra Ultimate,38,179
Defender,Spain,Nacho Vidal,CA Osasuna,adidas Copa Pure 2 Elite,29,180
Forward,Turkey,Naci Ünüvar,RCD Espanyol,,21,168
Defender,Tunisia,Nader Ghandri,,Puma Future 7 Ultimate,29,197
Midfielder,Germany,Nadiem Amiri,1. FSV Mainz 05,Nike Mercurial Vapor 15 Elite,28,180
Forward,Turkey,Nadir Çiftçi,,Nike Mercurial Vapor 15 Elite,32,183
Midfielder,Italy,Nadir Minotti,,,32,183
Midfielder,Italy,Nadir Zortea,Cagliari Calcio,adidas X Crazyfast Elite,25,175
Forward,-,Nadrey Dago,,Nike Mercurial Superfly 8 Elite,27,175
Midfielder,France,Naël Jaby,,adidas X 19.1,23,175
Defender,Spain,Nagore,,Puma Ultra 1.1,44,183
Midfielder,Uruguay,Nahitan Nández,,adidas Predator Accuracy.1,29,172
Forward,Bermuda,Nahki Wells,,Nike Mercurial Superfly 9 Elite,34,170
Forward,Argentina,Nahuel Bustos,,Nike Mercurial Superfly VIII Elite iD,26,176
Midfielder,Argentina,Nahuel Estévez,Parma Calcio 1913,Puma Future 7 Ultimate,29,181
Goalkeeper,Argentina,Nahuel Guzmán,,Nike Tiempo Legend 10 Elite,38,192
Defender,Argentina,Nahuel Molina,Atlético de Madrid,Nike Mercurial Vapor 16 Elite,26,175
Goalkeeper,Germany,Nahuel Noll,SpVgg Greuther Fürth,adidas Predator Elite,21,190
Defender,Argentina,Nahuel Tenaglia,Deportivo Alavés,Puma Ultra Ultimate,28,181
Defender,Argentina,Nahuel Valentini,,adidas X Crazyfast Elite,36,182
Midfielder,Qatar,Naif Al-Hadhrami,,adidas Copa Pure.1,23,180
Midfielder,Russia,Nail Umyarov,Spartak Moscow,Nike Phantom GX 2 Elite,24,182
Midfielder,Morocco,Naïm Byar,,,19,182
Forward,Tunisia,Naïm Sliti,,adidas X Crazyfast Elite LL,32,173
Midfielder,Armenia,Nair Tiknizyan,Lokomotiv Moscow,Puma Ultra 1.3,25,181
Forward,France,Naïs Djouahra,,adidas Predator Elite LL,25,172
Midfielder,France,Najib Baouia,,adidas X Crazyfast Elite,32,165
Midfielder,France,Najib Gandi,,Nike Phantom GX 2 Elite,30,188
Defender,Brazil,Naldo,,adidas Predator Elite,42,198
Defender,Brazil,Naldo,,Nike Phantom GX 2 Elite,36,188
Defender,France,Namakoro Diallo,,,28,178
Midfielder,Senegal,Nampalys Mendy,RC Lens,adidas Predator Elite,32,168
Forward,Ghana,Nana Ampomah,,Nike Mercurial Vapor 15 Elite,29,175
Defender,Ghana,Nana Asare,,,38,175
Defender,Ghana,Nana Kwame Boakye,FC Sheriff Tiraspol,,19,187
Defender,Angola,Nandinho,,,26,174
Midfielder,Spain,Nando,,,30,178
Forward,Portugal,Nani,,adidas X Speedportal.1,38,177
Defender,Spain,Nano,,,40,182
Forward,Spain,Nano Mesa,,,29,178
Defender,Guinea-bissau,Nanu,,Puma Ultra Ultimate,30,177
Defender,Japan,Naomichi Ueda,,Nike Tiempo Legend 10 Elite,30,186
Forward,Morocco,Naoufal Bannis,,,22,184
Forward,France,Naoufal Mesbah,,,28,177
Midfielder,France,Naouirou Ahamada,Stade Rennais FC,adidas F50 Elite,22,183
Goalkeeper,-,Napo Matsoso,,,30,167
Forward,Spain,Naranjo,,Nike Mercurial Superfly 9 Elite,30,182
Forward,-,Nardin Mulahusejnovic,,,26,190
Forward,Azerbaijan,Nariman Akhundzada,Qarabağ FK,,20,185
Defender,Albania,Naser Aliji,,Nike Mercurial Vapor 15 Elite,31,178
Midfielder,Poland,naso stefano,,adidas X 17+ Purespeed,30,175
Defender,Saudi Arabia,Nasser Al-Dawsari,,Nike Phantom GT2 Elite,26,178
Defender,Burkina Faso,Nasser Djiga,Red Star Belgrade,Nike Mercurial Vapor 15 Elite,22,192
Midfielder,Netherlands,Nasser El Khayati,,adidas X 15.1,35,185
Midfielder,France,Nassim Ahmed,,adidas X 19.1,24,174
Goalkeeper,France,Nassim Badri,,adidas Predator Elite,31,180
Midfielder,Morocco,Nassim Boujellab,Arminia Bielefeld,Nike Mercurial Superfly 9 Elite,25,182
Forward,Morocco,Nassim Chadli,,Nike Mercurial Superfly VII Elite,23,181
Defender,Tunisia,Nassim Hnid,,Nike Phantom VNM Elite,27,191
Defender,Brazil,Natan,Real Betis Balompié,adidas X Crazyfast Elite,23,188
Defender,Brazil,Natanael,,,34,166
Forward,France,Nathaël Julan,,,28,196
Midfielder,Brazil,Nathan,,adidas X Crazyfast Elite,28,177
Defender,Netherlands,Nathan Aké,Manchester City,Nike Phantom Luna 2 Elite,29,180
Defender,England,Nathan Baker,,Nike Tiempo Legend 10 Elite,33,189
Goalkeeper,England,Nathan Baxter,,Nike Tiempo Legend VIII Elite,26,189
Goalkeeper,England,Nathan Bishop,,adidas Copa Pure 2 Elite,25,185
Midfielder,France,Nathan Bitumazala,,Nike Mercurial Vapor 15 Elite,22,178
Midfielder,France,Nathan Buayi-Kiala,AJ Auxerre,,20,177
Defender,Ireland,Nathan Collins,Brentford FC,adidas Copa Pure 2 Elite KT,23,193
Defender,Belgium,Nathan de Medina,,adidas X Crazyfast Elite,27,183
Defender,France,Nathan Dekoke,,Nike Tiempo Legend 10 Elite,29,180
Midfielder,England,Nathan Dyer,,adidas X Crazyfast Elite,37,165
Defender,England,Nathan Ferguson,,Puma Ultra 1.4,24,184
Forward,Ireland,Nathan Fraser,,Nike Phantom GX 2 Elite,19,188
Forward,Belgium,Nathan Kabasele,,Nike Mercurial Vapor 15 Elite,30,178
Defender,France,Nathan Monzango,,,23,184
Forward,France,Nathan Ngoumou,Borussia Mönchengladbach,Puma Ultra Ultimate,24,185
Defender,Scotland,Nathan Patterson,Everton,adidas Predator Elite LL,23,189
Forward,England,Nathan Redmond,Burnley,Nike Mercurial Vapor 15 Elite,30,173
Midfielder,Zambia,Nathan Sinkala,,Nike Tiempo Legend 10 Elite,34,178
Defender,United States,Nathan Smith,,,30,178
Midfielder,Nigeria,Nathan Tella,Bayer 04 Leverkusen,adidas F50 Elite,25,173
Goalkeeper,England,Nathan Trott,FC Copenhagen,adidas Predator Elite,26,188
Defender,England,Nathan Wood,Southampton,Puma Future 7 Ultimate,22,188
Defender,France,Nathan Zézé,FC Nantes,Puma Future Ultimate,19,190
Forward,Congo Dr,Nathanaël Mbuku,GNK Dinamo Zagreb,Nike Mercurial Vapor 14 Elite,22,170
Defender,Ghana,Nathaniel Adjei,FC Lorient,Nike Mercurial Vapor 15 Elite,22,191
Defender,Australia,Nathaniel Atkinson,,Puma Ultra Ultimate,25,181
Defender,Germany,Nathaniel Brown,Eintracht Frankfurt,adidas F50 Elite,21,180
Midfielder,England,Nathaniel Chalobah,,Nike Mercurial Vapor 15 Elite,30,185
Defender,England,Nathaniel Clyne,Crystal Palace,Nike Mercurial Superfly 9 Elite,33,175
Forward,England,Nathaniel Mendez-Laing,,Nike Mercurial Superfly 9 Elite,32,178
Defender,England,Nathaniel Phillips,,adidas Copa Pure 2 Elite,27,190
Midfielder,Spain,Natxo Insa,,,38,177
Midfielder,Spain,Nauzet Alemán,,Puma Ultra 1.1,39,178
Goalkeeper,Spain,Nauzet Pérez,,Joma Super Copa,39,190
Defender,Ukraine,Navin Malysh,Dynamo Kyiv,,21,185
Midfielder,Saudi Arabia,Nawaf Al-Abed,,Nike Mercurial Vapor X Elite,34,170
Goalkeeper,Saudi Arabia,Nawaf Al-Aqidi,,adidas Predator Elite LL,24,186
Defender,Morocco,Nayef Aguerd,Real Sociedad,adidas Predator Elite LL,28,190
Forward,Ukraine,Nazar Voloshyn,Dynamo Kyiv,,21,175
Forward,Ukraine,Nazariy Rusyn,Sunderland,Nike Mercurial Vapor 15 Elite,26,177
Defender,Turkey,Nazim Sangaré,,,30,185
Defender,Portugal,Nazinho,,Nike Mercurial Vapor 15 Elite,21,180
Forward,France,Neal Maupay,Olympique de Marseille,adidas X Crazyfast Elite,28,171
Defender,Turkey,Necip Uysal,Beşiktaş JK,adidas Copa Pure 2 Elite,33,180
Defender,Wales,Neco Williams,Nottingham Forest,Puma Future 7 Ultimate,23,183
Midfielder,Cyprus,Nectarios Alexandrou,,adidas Predator Elite,41,178
Goalkeeper,Croatia,Nediljko Labrovic,FC Augsburg,,25,196
Midfielder,Albania,Nedim Bajrami,Rangers FC,Nike Phantom GX Elite,25,179
Defender,England,Nedum Onuoha,,Nike Tiempo Legend 10 Elite,38,188
Forward,Congo Dr,Neeskens Kebano,,Nike Phantom GT Elite DF,32,170
Forward,Switzerland,Neftali Manzambi,,,27,179
Defender,France,Nehemiah Fernandez,,,20,184
Defender,Argentina,Nehuén Paz,,Puma King Platinum,31,191
Defender,Argentina,Nehuén Pérez,FC Porto,Nike Tiempo Legend 10 Elite,24,186
Midfielder,Morocco,Neil El Aynaoui,RC Lens,adidas Predator Elite,23,185
Goalkeeper,Philippines,Neil Etheridge,,Nike Phantom GX 2 Elite,34,188
Defender,Wales,Neil Taylor,,adidas Copa 20.1,35,176
Midfielder,Cyprus,Nektarios Alexandrou,,,41,178
Defender,Portugal,Nélson,,Nike Mercurial Superfly 9 Elite,41,172
Defender,England,Nelson Abbey,Swansea City,adidas Predator Elite FT,21,187
Defender,Bolivia,Nelson Cabrera,,,41,192
Defender,Portugal,Nélson Monte,Málaga CF,,29,187
Forward,Portugal,Nélson Oliveira,,Nike Mercurial Vapor XIII Elite,33,186
Defender,Portugal,Nélson Semedo,Wolves,Nike Mercurial Vapor 16 Elite,31,177
Forward,Paraguay,Nelson Valdez,,Nike Mercurial Vapor 15 Elite,41,178
Forward,Germany,Nelson Weiper,1. FSV Mainz 05,Puma Ultra 5 Ultimate,19,192
Midfielder,Serbia,Nemanja Gudelj,Sevilla FC,Puma Ultra 5 Ultimate,33,187
Midfielder,Serbia,Nemanja Maksimovic,Panathinaikos Athens,adidas F50 Elite LL,29,189
Midfielder,Serbia,Nemanja Matic,Olympique Lyonnais,Puma Future 7 Ultimate,36,194
Defender,Serbia,Nemanja Miletic,,Puma Ultra 1.1,33,187
Defender,Serbia,Nemanja Milunovic,,Nike Tiempo Legend 9 Elite,35,195
Forward,Serbia,Nemanja Motika,SpVgg Greuther Fürth,,21,179
Forward,Serbia,Nemanja Nikolic,,,32,188
Defender,-,Nemanja Nikolic,,Nike Mercurial Vapor XIII Elite,23,180
Forward,Hungary,Nemanja Nikolics,,Nike Tiempo Legend 10 Elite,37,180
Defender,Serbia,Nemanja Pejčinović,,Nike Tiempo Legend 10 Elite,37,185
Defender,Serbia,Nemanja Petrovic,,,32,176
Midfielder,Serbia,Nemanja Radoja,,Nike CTR360 Maestri,31,186
Forward,Serbia,Nemanja Radonjić,Red Star Belgrade,Nike Mercurial Superfly 9 Elite,28,182
Defender,Serbia,Nemanja Stojić,,adidas X Crazyfast Elite LL,26,190
Goalkeeper,-,Nemanja Supic,,,42,196
Defender,Serbia,Nemanja Tubić,,Nike Tiempo Legend 10 Elite,40,189
Defender,Serbia,Nemanja Vidić,,Nike Tiempo Legend 10 Elite,43,189
Midfielder,Serbia,Nenad Krsticic,,Puma Ultra Ultimate,34,182
Defender,Montenegro,Nenad Milijas,,,31,180
Defender,Serbia,Nenad Tomović,,Nike Mercurial Superfly VII Elite,37,184
Forward,Brazil,Nenê,,Nike Mercurial Vapor 15 Elite,41,183
Forward,Brazil,Nenê,,adidas Predator Elite,43,181
Defender,Netherlands,Neraysho Kasanwirjo,Rangers FC,adidas F50 Elite,22,185
Goalkeeper,Argentina,Nereo Champagne,,Nike Tiempo Legend VII Elite,39,188
Forward,Mexico,Nery Castillo,,Mizuno Morelia II Japan,40,170
Defender,Mexico,Néstor Araújo,,Nike Phantom GT2 Elite DF,33,188
Goalkeeper,Spain,Néstor Díaz,,Nike Hypervenom,32,183
Forward,Australia,Nestory Irankunda,Bayern München,Nike Mercurial Vapor 16 Elite,18,175
Goalkeeper,Brazil,Neto,Arsenal,adidas Copa Pure 2 Elite,35,190
Defender,Brazil,Neto Borges,Middlesbrough FC,adidas X Crazyfast Elite,28,185
Defender,Brazil,Neuton,,adidas Predator Elite,34,182
Midfielder,Croatia,Neven Djurasek,,Nike Mercurial Vapor XIII Elite,26,173
Defender,Serbia,Neven Subotić,,adidas Copa Pure 2 Elite KT,36,193
Forward,Brazil,Newerton,Shakhtar Donetsk,,19,165
Defender,Colombia,Neyder Lozano,,adidas Predator Elite LL,30,185
Forward,Brazil,Neymar,,Puma Future 7 Ultimate,32,175
Midfielder,Congo Dr,Ngal'ayel Mukau,LOSC Lille,adidas Predator Elite LL,20,186
Defender,Congo Dr,Ngonda Muzinga,,Nike Mercurial Vapor 15 Elite,30,182
Defender,France,Nhoa Sangui,Stade de Reims,,18,178
Midfielder,Northern Ireland,Niall McGinn,,adidas X Crazyfast Elite,37,183
Midfielder,Italy,Niccolò Belloni,,,30,176
Goalkeeper,Italy,Niccolò Chiorra,,,23,187
Defender,Italy,Niccolò Corrado,Brescia Calcio,,24,179
Forward,Italy,Niccolò Giannetti,,,33,181
Defender,Italy,Niccolò Pierozzi,Palermo FC,Puma Ultra Ultimate,23,184
Midfielder,Italy,Niccolò Pietra,,,21,189
Midfielder,Italy,Niccolò Pisilli,AS Roma,Puma Future 7 Ultimate,20,180
Midfielder,Italy,Niccolò Zanellato,,Nike Tiempo Legend 10 Elite,26,187
Forward,Moldova,Nichita Covali,,,22,177
Goalkeeper,Switzerland,Nicholas Ammeter,,Nike Phantom VNM Elite,24,191
Goalkeeper,Denmark,Nicholas Beetson,,,19,187
Midfielder,Italy,Nicholas Bensaja,,,29,178
Forward,United States,Nicholas Gioacchini,,adidas X Crazyfast Elite LL,24,183
Defender,Cyprus,Nicholas Ioannou,,,29,183
Defender,Ghana,Nicholas Opoku,,Puma Ultra Ultimate,27,190
Forward,Italy,Nicholas Pierini,US Sassuolo,Nike Mercurial Vapor 15 Elite,26,176
Midfielder,England,Nick Blackman,,,35,188
Forward,England,Nick Clayton-Phillips,,,25,175
Goalkeeper,England,Nick Pope,Newcastle United,Nike Tiempo Legend 10 Elite,32,198
Midfielder,England,Nick Powell,,adidas X Speedportal 99 Leather.1,30,183
Goalkeeper,United States,Nick Rimando,,Nike Magista Opus II Elite,45,178
Goalkeeper,Belgium,Nick Shinton,,Nike Mercurial Vapor 15 Elite,23,194
Midfielder,United States,Nick Taitague,,adidas Nemeziz.1,25,173
Defender,Netherlands,Nick Viergever,,Nike Phantom GT2 Elite,35,183
Forward,Germany,Nick Woltemade,VfB Stuttgart,Nike Mercurial Superfly 8 Elite,22,198
Forward,Denmark,Nicki Bille Nielsen,,adidas X Crazyfast Elite,36,181
Forward,Denmark,Nicklas Bendtner,,adidas Nemeziz.1,36,194
Forward,Denmark,Nicklas Helenius,,Nike Mercurial Superfly 9 Elite,33,195
Midfielder,Sweden,Niclas Eliasson,AEK Athens,Nike Mercurial Vapor 15 Elite,29,178
Forward,Germany,Niclas Füllkrug,West Ham United,Nike Mercurial Vapor 14 Elite,31,189
Goalkeeper,Germany,Niclas Thiede,,Puma Future Ultimate,25,186
Midfielder,Poland,Nico Baier,SV Darmstadt 98,,19,176
